type,latitude,longitude,speedlimit (km/h),altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
W,59.159862000,17.645480700,,29.4,,,,,Sydgatan 5, Södertälje,
W,59.157811300,17.658795800,,9.5,,,,,Glashyttans Värdshus, Badvägen 31, 151 38 Södertälje,
,,,,,,,,,,
type,latitude,longitude,speedlimit (km/h),altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,59.160060000,17.645280000,50,28.8,,,0.000,,,
T,59.160060000,17.645270000,50,28.8,270.0,-5.2,0.001,0.57,,
T,59.160060000,17.645220000,50,28.6,270.0,-4.9,0.003,2.86,,
T,59.160060000,17.645210000,50,28.6,270.0,-4.9,0.004,0.57,,
T,59.160050000,17.645130000,50,28.4,256.3,-4.4,0.009,4.71,,
T,59.160060000,17.645040000,50,28.1,282.2,-5.1,0.014,5.27,,
T,59.160140000,17.644650000,50,29.1,291.8,4.2,0.038,24.03,,
T,59.160240000,17.644160000,50,31.2,291.7,6.7,0.068,30.16,,
T,59.160260000,17.644030000,50,31.6,286.7,5.1,0.076,7.76,,
T,59.160280000,17.643920000,50,31.9,289.5,5.0,0.083,6.68,,
T,59.160290000,17.643830000,50,32.0,282.2,2.1,0.088,5.27,,
T,59.160310000,17.643730000,50,32.0,291.3,0.0,0.094,6.14,,
T,59.160310000,17.643630000,50,32.0,270.0,0.0,0.100,5.72,,
T,59.160320000,17.643520000,50,32.0,280.1,0.0,0.106,6.39,,
T,59.160310000,17.643380000,50,32.0,262.1,0.0,0.114,8.09,,
T,59.160290000,17.642960000,50,30.7,264.7,-5.6,0.138,24.13,,
T,59.160280000,17.642450000,50,28.8,267.8,-6.3,0.168,29.20,,
T,59.160280000,17.642320000,50,28.4,270.0,-6.2,0.175,7.44,,
T,59.160280000,17.642320000,50,28.4,270.0,,0.175,0.00,,
T,59.160920000,17.642180000,50,33.8,353.6,7.6,0.247,71.74,,
T,59.161130000,17.642130000,50,35.3,353.0,6.3,0.270,23.57,,
T,59.161430000,17.642070000,50,34.8,354.1,-1.5,0.304,33.60,,
T,59.161500000,17.642050000,50,34.5,351.7,-3.9,0.312,7.88,,
T,59.161580000,17.642040000,50,34.2,356.3,-3.1,0.321,8.93,,
T,59.161680000,17.642020000,50,33.8,354.1,-3.9,0.332,11.20,,
T,59.161790000,17.642000000,50,33.5,354.7,-2.4,0.344,12.31,,
T,59.162100000,17.641970000,50,32.6,357.2,-2.6,0.379,34.58,,
T,59.162470000,17.641910000,50,30.9,355.2,-4.2,0.420,41.36,,
T,59.162840000,17.641790000,50,29.0,350.6,-4.5,0.462,41.78,,
T,59.162900000,17.641760000,50,28.4,345.6,-8.5,0.469,6.90,,
T,59.162910000,17.641760000,50,28.4,0.0,-4.3,0.470,1.11,,
T,59.163130000,17.641670000,50,27.0,348.2,-5.4,0.495,25.04,,
T,59.163470000,17.641500000,50,25.9,345.6,-2.8,0.534,39.10,,
T,59.163550000,17.641420000,50,25.3,332.9,-5.7,0.544,10.02,,
T,59.163600000,17.641390000,50,25.0,342.9,-4.9,0.550,5.83,,
T,59.164070000,17.641140000,50,20.3,344.7,-8.7,0.604,54.27,,
T,59.164420000,17.640950000,50,19.6,344.4,-1.8,0.645,40.48,,
T,59.164590000,17.640850000,50,18.9,343.2,-3.5,0.664,19.78,,
T,59.164680000,17.640900000,50,18.3,15.9,-6.3,0.675,10.43,,
T,59.165100000,17.640680000,50,17.6,345.0,-1.3,0.723,48.45,,
T,59.165280000,17.640600000,50,17.0,347.2,-3.1,0.744,20.57,,
T,59.165280000,17.640600000,50,17.0,347.2,,0.744,0.00,,
T,59.165290000,17.640640000,50,17.0,64.0,1.4,0.746,2.54,,
T,59.165310000,17.640680000,50,17.1,45.7,2.3,0.750,3.19,,
T,59.165340000,17.640700000,50,17.2,18.9,3.1,0.753,3.53,,
T,59.165360000,17.640720000,50,17.3,27.1,2.9,0.756,2.50,,
T,59.165390000,17.640740000,50,17.4,18.9,3.1,0.759,3.53,,
T,59.165430000,17.640740000,50,17.5,0.0,3.2,0.764,4.46,,
T,59.165470000,17.640930000,50,17.7,67.7,1.2,0.775,11.75,,
T,59.165540000,17.641330000,50,17.2,71.1,-2.0,0.800,24.17,,
T,59.165570000,17.641420000,50,16.8,57.0,-6.9,0.806,6.14,,
T,59.165600000,17.641590000,50,15.8,71.0,-9.1,0.816,10.28,,
T,59.165630000,17.641940000,50,14.2,80.5,-8.0,0.836,20.30,,
T,59.165630000,17.642100000,50,13.5,90.0,-7.9,0.845,9.15,,
T,59.165630000,17.642240000,50,12.9,90.0,-7.8,0.853,8.01,,
